DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-Dec-2025,EQ,"3,280.00","3,288.00","3,242.90","3,280.00","3,256.00","3,251.50","3,254.98","4,322.95","2,866.60","20,79,473","6,76,86,50,796.40","1,17,390"
26-Dec-2025,EQ,"3,313.10","3,320.00","3,271.80","3,319.00","3,276.80","3,280.00","3,287.91","4,322.95","2,866.60","11,76,664","3,86,87,59,940.60","89,363"
24-Dec-2025,EQ,"3,304.10","3,327.10","3,296.10","3,310.00","3,313.10","3,319.00","3,312.41","4,322.95","2,866.60","13,67,708","4,53,04,13,590.90","84,873"
23-Dec-2025,EQ,"3,319.90","3,319.90","3,293.50","3,324.90","3,305.10","3,310.00","3,304.76","4,322.95","2,866.60","23,65,420","7,81,71,55,849.90","1,39,216"
22-Dec-2025,EQ,"3,310.00","3,328.60","3,291.00","3,282.00","3,324.90","3,324.90","3,314.14","4,322.95","2,866.60","26,32,816","8,72,55,23,457.10","1,01,733"
19-Dec-2025,EQ,"3,299.00","3,317.90","3,278.80","3,280.80","3,285.00","3,282.00","3,295.00","4,475.00","2,866.60","39,02,511","12,85,87,80,664.30","1,22,711"
18-Dec-2025,EQ,"3,228.00","3,287.80","3,221.00","3,217.80","3,281.20","3,280.80","3,260.45","4,475.00","2,866.60","23,07,422","7,52,32,25,819.80","1,66,551"
17-Dec-2025,EQ,"3,200.50","3,236.90","3,200.50","3,205.10","3,217.80","3,217.80","3,218.60","4,475.00","2,866.60","13,76,350","4,42,99,15,958.70","88,357"
16-Dec-2025,EQ,"3,220.00","3,220.00","3,191.10","3,230.20","3,206.60","3,205.10","3,204.68","4,475.00","2,866.60","17,34,623","5,55,89,13,487.80","97,265"
15-Dec-2025,EQ,"3,211.10","3,238.20","3,197.30","3,220.50","3,227.00","3,230.20","3,220.97","4,475.00","2,866.60","15,62,190","5,03,17,66,680.70","1,07,289"
12-Dec-2025,EQ,"3,197.70","3,223.00","3,185.70","3,191.90","3,220.10","3,220.50","3,209.12","4,494.90","2,866.60","11,46,554","3,67,94,24,706.90","83,968"
11-Dec-2025,EQ,"3,205.00","3,208.40","3,153.10","3,189.20","3,193.90","3,191.90","3,184.35","4,494.90","2,866.60","19,14,362","6,09,59,95,407.30","1,00,793"
10-Dec-2025,EQ,"3,225.00","3,225.00","3,178.10","3,208.30","3,185.00","3,189.20","3,191.56","4,494.90","2,866.60","13,86,849","4,42,62,07,513.50","82,261"
09-Dec-2025,EQ,"3,230.00","3,233.70","3,181.20","3,236.50","3,208.00","3,208.30","3,201.08","4,494.90","2,866.60","27,34,893","8,75,46,08,897.60","1,38,787"
08-Dec-2025,EQ,"3,243.00","3,259.90","3,208.60","3,238.20","3,237.90","3,236.50","3,236.92","4,494.90","2,866.60","25,44,725","8,23,70,58,645.90","1,21,186"
05-Dec-2025,EQ,"3,230.00","3,271.60","3,222.40","3,229.20","3,241.00","3,238.20","3,246.03","4,494.90","2,866.60","52,44,013","17,02,22,14,888.30","1,78,219"
04-Dec-2025,EQ,"3,194.00","3,250.00","3,187.40","3,180.00","3,227.00","3,229.20","3,231.21","4,494.90","2,866.60","50,25,905","16,23,97,49,623.20","1,85,585"
03-Dec-2025,EQ,"3,140.00","3,211.90","3,139.00","3,135.70","3,180.00","3,180.00","3,185.48","4,494.90","2,866.60","39,52,112","12,58,93,78,283.40","1,92,454"
02-Dec-2025,EQ,"3,131.00","3,144.00","3,120.40","3,133.40","3,137.50","3,135.70","3,133.36","4,494.90","2,866.60","25,12,003","7,87,10,11,640.60","1,27,701"
01-Dec-2025,EQ,"3,137.90","3,154.00","3,122.20","3,137.50","3,138.00","3,133.40","3,133.29","4,494.90","2,866.60","17,47,647","5,47,58,78,282.20","1,30,698"
28-Nov-2025,EQ,"3,140.00","3,147.30","3,125.00","3,136.60","3,135.90","3,137.50","3,137.82","4,494.90","2,866.60","16,16,690","5,07,28,88,841.30","79,463"
